"82371AB","U","chipset:82371AB","Intel PIIX4 Southbridge","https://datasheet.datasheetarchive.com/originals/library/Datasheets-UEA1/DSAFRAZ0011694.pdf"
"D20","Tri-state","PDD4","right",
"C20","Tri-state","PDD5","right",
"B20","Tri-state","PDD6","right",
"A20","Tri-state","PDD7","right",
"A19","Tri-state","PDD8","right",
"B19","Tri-state","PDD9","right",
"G19","output","~{PDDACK}","right",
"F18","input","PDDREQ","right",
"F17","output","~{PDIOR}","right",
"F16","output","~{PDIOW}","right",
"B12","output","~{PHOLD}","left",
"A12","input","~{PHLDA}","left",
"G20","input","PIORDY","right",
"R3","Tri-state","~{PIRQA}","left",
"R4","Tri-state","~{PIRQB}","left",
"P5","Tri-state","~{PIRQC}","left",
"G1","Tri-state","PIRQD}/USBOUT","left",
"U20","input","~{PWRBTN}","left",
"M18","input","PWROK","left",
"N20","input","~{RCIN}","left",
"P18","input","~{RI}/GPI12","left",
"M17","input","~{RSMRST}","left",
"L1","output","RTCALE/GP025","right",
"K2","output","~{RTCCS}/GP024","right",
"N19","Tri-state","RTCX1","right",
"R20","Tri-state","RTCX2","right",
"W7","Tri-state","~{REFRESH}","left",
"M1","input","~{REQA}/GPI2","left",
"N2","input","~{REQB}/GPI3","left",
"P3","input","~{REQC}/GPI4","left",
"W1","output","RSTDRV","left",
"U11","Tri-state","SA0","right",
"T11","Tri-state","SA1","right",
"W8","Tri-state","SA10","right",
"U7","Tri-state","SA11","right",
"V7","Tri-state","SA12","right",
"Y7","Tri-state","SA13","right",
"V6","Tri-state","SA14","right",
"Y6","Tri-state","SA15","right",
"T5","Tri-state","SA16","right",
"W5","Tri-state","SA17","right",
"U4","Tri-state","SA18","right",
"V4","Tri-state","SA19","right",
"W11","Tri-state","SA2","right",
"Y11","Tri-state","SA3","right",
"T10","Tri-state","SA4","right",
"W10","Tri-state","SA5","right",
"U9","Tri-state","SA6","right",
"V9","Tri-state","SA7","right",
"Y9","Tri-state","SA8","right",
"T8","Tri-state","SA9","right",
"W12","Tri-state","~{SBHE}","right",
"V3","Tri-state","SD0","right",
"W3","Tri-state","SD1","right",
"Y17","Tri-state","SD10","right",
"V17","Tri-state","SD11","right",
"Y18","Tri-state","SD12","right",
"W18","Tri-state","SD13","right",
"Y19","Tri-state","SD14","right",
"W19","Tri-state","SD15","right",
"U2","Tri-state","SD2","right",
"T2","Tri-state","SD3","right",
"W2","Tri-state","SD4","right",
"Y2","Tri-state","SD5","right",
"T1","Tri-state","SD6","right",
"V1","Tri-state","SD7","right",
"W16","Tri-state","SD8","right",
"T16","Tri-state","SD9","right",
"C17","output","SDA0","right",
"B17","output","SDA1","right",
"A18","output","SDA2","right",
"B18","output","~{SDCS1}","right",
"C18","output","~{SDCS3}","right",
"E15","Tri-state","SDD0","right",
"B15","Tri-state","SDD1","right",
"D13","Tri-state","SDD10","right",
"B14","Tri-state","SDD11","right",
"E14","Tri-state","SDD12","right",
"A15","Tri-state","SDD13","right",
"C15","Tri-state","SDD14","right",
"D15","Tri-state","SDD15","right",
"D14","Tri-state","SDD2","right",
"C14","Tri-state","SDD3","right",
"A14","Tri-state","SDD4","right",
"C13","Tri-state","SDD5","right",
"A13","Tri-state","SDD6","right",
"C12","Tri-state","SDD7","right",
"D12","Tri-state","SDD8","right",
"B13","Tri-state","SDD9","right",
"A17","output","~{SDDACK}","right",
"A16","input","SDDREQ","right",
"C16","output","~{SDIOR}","right",
"B16","output","~{SDIOW}","right",
"A6","Tri-state","~{SERR}","left",
"D16","input","SIORDY","right",
"J19","Tri-state","SERIRQ/GPI7","left",
"K20","Open-collector","~{SLP}","left",
"N17","input","~{SMBALERT}/GPI11","right",
"R19","Tri-state","SMBCLK","right",
"T20","Tri-state","SMBDATA","right",
"W4","output","~{SMEMR}","right",
