"U",,"FW82439HX",,"Intel 430HX Chipset"
,,,,
"T11","output","~{MWE}","right",
"N5","output","~{NA}","left",
"E12","tristate","PAR","right",
"E10","input","PCLKIN","right",
"D4","input","~{PHLD}","right",
"D5","output","~{PHLDA}","right",
"G17","output","~{RAS0}","right",
"F17","output","~{RAS1}","right",
"F16","output","~{RAS2}","right",
"E16","output","~{RAS3}","right",
"M17","output","~{RAS4}","right",
"N17","output","~{RAS5}","right",
"M16","output","~{RAS6}","right",
"N16","output","~{RAS7}","right",
"D7","output","~{REQ0}","right",
"D9","output","~{REQ1}","right",
"D11","output","~{REQ2}","right",
"D13","output","~{REQ3}","right",
"T15","input","~{RST}","right",
"E13","output","~{SERR}","right",
"T10","input","~{SMIACT}","left",
"E11","tristate","~{STOP}","right",
"W17","input","~{TEST}","right",
"P16","tristate","TIO0","left",
"U16","tristate","TIO1","left",
"U17","tristate","TIO2","left",
"V17","tristate","TIO3","left",
"T14","tristate","TIO4","left",
"V18","tristate","TIO5","left",
"W18","tristate","TIO6","left",
"Y18","tristate","TIO7","left",
"W19","tristate","TIO8","left",
"Y","tristate","TIO9","left",
"Y20","tristate","TIO10","left",
"E8","tristate","~{TRDY}","right",
"V16","output","~{TWE}","left",
"R16","power_in","VCC3","top",
"F5","power_in","VCC3","top","y"
"F6","power_in","VCC3","top","y"
"G6","power_in","VCC3","top","y"
"R6","power_in","VCC3","top","y"
"R7","power_in","VCC3","top","y"
"F14","power_in","VCC3","top","y"
"F15","power_in","VCC3","top","y"
"P15","power_in","VCC3","top","y"
"R15","power_in","VCC3","top","y"
"E14","power_in","VDD5","top",
"T6","gnd","VSS","bottom",
"J 9","gnd","VSS","bottom","y"
"K9","gnd","VSS","bottom","y"
"L9","gnd","VSS","bottom","y"
"M9","gnd","VSS","bottom","y"
"J 10","gnd","VSS","bottom","y"
"K10","gnd","VSS","bottom","y"
"L10","gnd","VSS","bottom","y"
"M10","gnd","VSS","bottom","y"
"J 11","gnd","VSS","bottom","y"
"K11","gnd","VSS","bottom","y"
"L11","gnd","VSS","bottom","y"
"M11","gnd","VSS","bottom","y"
"J 12","gnd","VSS","bottom","y"
"K12","gnd","VSS","bottom","y"
"L12","gnd","VSS","bottom","y"
"M12","gnd","VSS","bottom","y"
"E15","gnd","VSS","bottom","y"
"T16","gnd","VSS","bottom","y"
"T9","input","~{W/R}","left",
